UC	Época	Datas	Hora	Duração	Sala(s)		
Algoritmos e Programação	normal	07/01/23	09:00	90	S27		
Álgebra	normal	18/01/23	10:00	100	S65		
Análise Matemática	normal	05/01/23	14:00	120	S52		
Sistemas Digitais	normal	11/01/23	16:00	90	S34		
Tecnologia dos Computadores	normal	23/01/23	09:00	100	S1		
Estrutura de Dados	normal	02/06/23	10:00	120	S80		
Matemática Discreta	normal	05/06/23	14:00	90	S47		
Redes de Comunicação I	normal	08/06/23	16:00	100	S5		
Arquitetura de Computador	normal	12/06/23	09:00	120	S73		
Matemática Aplicada	normal	15/06/23	10:00	90	S24		
Usabilidade	normal	09/01/23	14:00	100	S61		
Sistemas Operativos	normal	07/01/23	16:00	120	S59		
Aplicações para a Internet I	normal	09/01/23	09:00	90	S29		
Programação Orientada aos Objetos	normal	12/01/23	10:00	100	S43		
Análise de Sistemas	normal	16/01/23	14:00	120	S12		
Programação para Dispositivos Móveis	normal	31/01/23	16:00	90	S78		
Redes de Comunicação II	normal	05/06/23	09:00	100	S20		
Engenharia de Software I	normal	08/06/23	10:00	120	S45		
Aplicações para a Internet II	normal	12/06/23	14:00	90	S7		
Bases de Dados I	normal	15/06/23	16:00	100	S28		
Bases de Dados II	normal	21/01/23	09:00	120	S56		
Complementos de Sistemas Operativos	normal	05/01/23	10:00	90	S63		
Sistemas Embebidos	normal	09/01/23	14:00	100	S50		
Sistemas Distribuídos	normal	12/01/23	16:00	120	S11		
Redes de Comunicação III	normal	16/01/23	09:00	90	S26		
Segurança Informática	normal	19/01/23	10:00	100	S44		
Inteligência Artificial	normal	02/06/23	14:00	120	S15		
Engenharia de Software II	normal	05/06/23	16:00	90	S8		
Empreendorismo e Gestão de Empresas	normal	08/06/23	09:00	100	S70		
Álgebra Linear e Geometria Analítica	normal	02/01/23	10:00	120	S23		
Análise Matemática I	normal	05/01/23	14:00	90	S31		
Desenho Eletrotécnico	normal	09/01/23	16:00	100	S39		
Física Geral	normal	12/01/23	09:00	120	S48		
Programação de Computadores	normal	16/01/23	10:00	90	S46		
Análise Matemática II	normal	02/06/23	14:00	100	S21		
Eletrotecnia e Circuitos	normal	05/06/23	16:00	120	S54		
Instalações Elétricas I	normal	08/06/23	09:00	90	S69		
Métodos Numéricos	normal	12/06/23	10:00	100	S16		
Probabilidades e Estatística	normal	15/06/23	14:00	120	S32		
Programação Avançada	normal	19/06/23	16:00	90	S3		
Eletromagnetismo	normal	02/01/23	09:00	100	S71		
Eletrónica	normal	05/01/23	10:00	120	S9		
Instalações Elétricas II	normal	09/01/23	14:00	90	S2		
Sistemas Digitais	normal	12/01/23	16:00	100	S67		
Sistemas e Controlo	normal	16/01/23	09:00	120	S60		
Eletrónica de Potência	normal	02/06/23	10:00	90	S17		
Gestão e Qualidade da Energia Elétrica	normal	05/06/23	14:00	100	S14		
Instrumentação Industrial	normal	08/06/23	16:00	120	S75		
Máquinas Elétricas	normal	12/06/23	09:00	90	S33		
Microssistemas	normal	15/06/23	10:00	100	S22		
Automação Industrial	normal	02/01/23	14:00	120	S10		
Gestão Industrial	normal	05/01/23	16:00	90	S49		
Sistemas de Acionamento Eletromecânicos	normal	09/01/23	09:00	100	S53		
Sistemas de Eletrónica	normal	12/01/23	10:00	120	S6		
Gestão da Segurança no Trabalho	normal	02/06/23	14:00	90	S57		
Processamento de Sinal	normal	05/06/23	16:00	100	S36		
Redes Industriais	normal	08/06/23	09:00	120	S42		
Robótica Industrial	normal	12/06/23	10:00	90	S41		
Álgebra Linear e Geometria Analítica	normal	02/01/23	14:00	100	S77		
Análise Matemática I	normal	05/01/23	16:00	120	S40		
Ciência e Engenharia de Materiais I	normal	09/01/23	09:00	90	S64		
Desenho Técnico I	normal	12/01/23	10:00	100	S35		
Mecânica I	normal	16/01/23	14:00	120	S79		
Análise Matemática II	normal	02/06/23	16:00	90	S72		
Ciência e Engenharia de Materiais II	normal	05/06/23	09:00	100	S13		
