Sala	Lotação						 
S1 	52						
S2 	104						
S3 	100						
S4 	108						
S5 	106						
S6 	88						
S7 	116						
S8 	56						
S9 	60						
S10	120						
S11	98						
S12	58						
S13	68						
S14	96						
S15	100						
S16	76						
S17	96						
S18	90						
S19	68						
S20	78						
S21	66						
S22	92						
S23	80						
S24	98						
S25	90						
S26	104						
S27	84						
S28	90						
S29	58						
S30	86						
S31	64						
S32	76						
S33	88						
S34	80						
S35	74						
S36	52						
S37	80						
S38	104						
S39	116						
S40	82						
S41	76						
S42	85						
S43	116						
S44	137						
S45	171						
S46	166						
S47	107						
S48	178						
S49	152						
S50	73						
S51	155						
S52	141						
S53	106						
S54	146						
S55	214						
S56	132						
S57	168						
S58	94						
S59	112						
S60	172						
S61	105						
S62	207						
S63	98						
S64	188						
S65	201						
S66	131						
S67	79						
S68	128						
S69	127						
S70	116						
S71	124						
S72	136						
S73	108						
S74	206						
S75	218						
S76	87						
S77	98						
S78	138						
S79	89						
S80	109						
S81	133						
